AGI	Experiment	Category	Melt_Cat
AT1G18810	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19050	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19110	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19190	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19300	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19350	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19370	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19600	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19620	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19670	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19680	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19700	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19720	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19740	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19770	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19835	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19870	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19910	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19970	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G19980	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20010	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20070	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20100	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20220	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20270	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20330	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20340	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20430	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20490	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20560	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20580	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20650	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20670	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20696	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20823	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20970	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G20980	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G21000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G21050	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G21090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G21140	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G21150	SMALL	UP_XRN4	SMALL_UP_XRN4
